CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
臺北市,1984,2,121.45,25.10,2.71684,
臺北市,1984,3,121.45,25.10,6.98421,
臺北市,1984,4,121.45,25.10,8.58025,
臺北市,1984,5,121.45,25.10,11.0557,
臺北市,1984,6,121.45,25.10,7.30248,
臺北市,1984,7,121.45,25.10,1.68537,
臺北市,1984,8,121.45,25.10,11.9092,
臺北市,1984,9,121.45,25.10,2.96858,
臺北市,1984,10,121.45,25.10,2.36284,
臺北市,1984,11,121.45,25.10,3.3596,
臺北市,1984,12,121.45,25.10,0.857337,
臺北市,1985,1,121.45,25.10,1.58142,
臺北市,1985,2,121.45,25.10,15.3392,
臺北市,1985,3,121.45,25.10,3.87984,
臺北市,1985,4,121.45,25.10,5.13298,
臺北市,1985,5,121.45,25.10,5.04687,
臺北市,1985,6,121.45,25.10,4.04881,
臺北市,1985,7,121.45,25.10,7.73321,
臺北市,1985,8,121.45,25.10,7.11149,
臺北市,1985,9,121.45,25.10,7.89119,
臺北市,1985,10,121.45,25.10,3.23326,
臺北市,1985,11,121.45,25.10,0.658616,
臺北市,1985,12,121.45,25.10,3.53742,
臺北市,1986,1,121.45,25.10,0.889858,
臺北市,1986,2,121.45,25.10,5.71368,
臺北市,1986,3,121.45,25.10,10.4234,
臺北市,1986,4,121.45,25.10,2.82491,
臺北市,1986,5,121.45,25.10,11.6236,
臺北市,1986,6,121.45,25.10,9.57172,
臺北市,1986,7,121.45,25.10,1.56767,
臺北市,1986,8,121.45,25.10,11.4312,
臺北市,1986,9,121.45,25.10,7.22749,
臺北市,1986,10,121.45,25.10,0.524666,
臺北市,1986,11,121.45,25.10,4.77371,
臺北市,1986,12,121.45,25.10,1.18738,
臺北市,1987,1,121.45,25.10,1.29131,
臺北市,1987,2,121.45,25.10,1.52573,
臺北市,1987,3,121.45,25.10,7.66835,
臺北市,1987,4,121.45,25.10,2.96092,
臺北市,1987,5,121.45,25.10,7.08803,
臺北市,1987,6,121.45,25.10,2.98539,
臺北市,1987,7,121.45,25.10,1.63831,
臺北市,1987,8,121.45,25.10,1.41298,
臺北市,1987,9,121.45,25.10,8.85674,
臺北市,1987,10,121.45,25.10,8.03174,
臺北市,1987,11,121.45,25.10,2.69508,
臺北市,1987,12,121.45,25.10,1.54099,
臺北市,1988,1,121.45,25.10,3.11469,
臺北市,1988,2,121.45,25.10,2.10498,
臺北市,1988,3,121.45,25.10,7.86392,
臺北市,1988,4,121.45,25.10,11.6058,
臺北市,1988,5,121.45,25.10,8.68697,
臺北市,1988,6,121.45,25.10,1.49208,
臺北市,1988,7,121.45,25.10,6.7778,
臺北市,1988,8,121.45,25.10,1.58165,
臺北市,1988,9,121.45,25.10,12.1074,
臺北市,1988,10,121.45,25.10,3.06491,
臺北市,1988,11,121.45,25.10,2.06929,
臺北市,1988,12,121.45,25.10,1.11322,
臺北市,1989,1,121.45,25.10,1.33554,
臺北市,1989,2,121.45,25.10,0.844204,
臺北市,1989,3,121.45,25.10,1.95894,
臺北市,1989,4,121.45,25.10,6.47211,
臺北市,1989,5,121.45,25.10,8.50208,
臺北市,1989,6,121.45,25.10,1.07481,
臺北市,1989,7,121.45,25.10,10.5023,
臺北市,1989,8,121.45,25.10,5.89845,
臺北市,1989,9,121.45,25.10,13.3137,
臺北市,1989,10,121.45,25.10,0.757191,
臺北市,1989,11,121.45,25.10,1.44699,
臺北市,1989,12,121.45,25.10,2.41738,
臺北市,1990,1,121.45,25.10,4.62312,
臺北市,1990,2,121.45,25.10,5.97846,
臺北市,1990,3,121.45,25.10,2.43986,
臺北市,1990,4,121.45,25.10,20.0472,
臺北市,1990,5,121.45,25.10,3.87075,
臺北市,1990,6,121.45,25.10,13.9343,
臺北市,1990,7,121.45,25.10,5.21644,
臺北市,1990,8,121.45,25.10,11.9331,
臺北市,1990,9,121.45,25.10,14.1502,
臺北市,1990,10,121.45,25.10,0.620892,
臺北市,1990,11,121.45,25.10,0.820726,
臺北市,1990,12,121.45,25.10,0.00188818,
臺北市,1991,1,121.45,25.10,3.52858,
臺北市,1991,2,121.45,25.10,1.98475,
臺北市,1991,3,121.45,25.10,3.88578,
臺北市,1991,4,121.45,25.10,4.46117,
臺北市,1991,5,121.45,25.10,2.43616,
臺北市,1991,6,121.45,25.10,13.2087,
臺北市,1991,7,121.45,25.10,1.48204,
臺北市,1991,8,121.45,25.10,1.79141,
臺北市,1991,9,121.45,25.10,7.07037,
臺北市,1991,10,121.45,25.10,2.16027,
臺北市,1991,11,121.45,25.10,1.09255,
臺北市,1991,12,121.45,25.10,1.95447,
臺北市,1992,1,121.45,25.10,1.17045,
臺北市,1992,2,121.45,25.10,6.02135,
臺北市,1992,3,121.45,25.10,5.3101,
臺北市,1992,4,121.45,25.10,6.15806,
臺北市,1992,5,121.45,25.10,6.42853,
臺北市,1992,6,121.45,25.10,7.56752,
臺北市,1992,7,121.45,25.10,1.53189,
臺北市,1992,8,121.45,25.10,8.61558,
臺北市,1992,9,121.45,25.10,6.44458,
臺北市,1992,10,121.45,25.10,3.71796,
臺北市,1992,11,121.45,25.10,0.685006,
臺北市,1992,12,121.45,25.10,3.35064,
